ship_city,ship_state,ship_postal_code,ship_country
SANGOLE,MAHARASHTRA,413309.0,IN
Chennai -600053,TAMIL NADU,600053.0,IN
KANHANGAD,KERALA,671314.0,IN
GUWAHATI,ASSAM,781037.0,IN
ZIRA,PUNJAB,142047.0,IN
Alangad,KERALA,683511.0,IN
Berhampore,WEST BENGAL,742149.0,IN
DHANAURA,UTTAR PRADESH,244231.0,IN
UDUPI,KARNATAKA,576107.0,IN
Ghaziabad,UTTAR PRADESH,201011.0,IN
"PUDUPAKKAM VILLAGE, SIRUSERI",TAMIL NADU,603103.0,IN
JADUGORA,JHARKHAND,832102.0,IN
"kattanam  , allepy",KERALA,690503.0,IN
NEW DELHI,DELHI,110071.0,IN
Ropar,PUNJAB,140001.0,IN
Siruguppa,KARNATAKA,583121.0,IN
Ernakulam,KERALA,683562.0,IN
BENGALURU 560064,KARNATAKA,560064.0,IN
SAGAR,MADHYA PRADESH,470001.0,IN
TUNDLA KHAM,UTTAR PRADESH,283204.0,IN
"Hajipur, Vaishali",BIHAR,844101.0,IN
Thimmarayagowda layout Banashankari 3rd statge,KARNATAKA,560085.0,IN
Pune,MAHARASHTRA,411008.0,IN
KARWI,UTTAR PRADESH,210205.0,IN
BHOPAL,MADHYA PRADESH,462021.0,IN
KUDAL,MAHARASHTRA,416520.0,IN
KOTA,RAJASTHAN,324008.0,IN
RIICO INDUSTRIAL AREA GUDLI,RAJASTHAN,313201.0,IN
JAIPUR,RAJASTHAN,303301.0,IN
KOLKATA,WEST BENGAL,700110.0,IN
Lucknow,UTTAR PRADESH,226001.0,IN
AMBALA CANTT,HARYANA,133001.0,IN
SURAT,Gujarat,394510.0,IN
New Delhi,Delhi,110024.0,IN
kharghar,MAHARASHTRA,410210.0,IN
Kalyan west,MAHARASHTRA,421311.0,IN
Chengalpattu,TAMIL NADU,603003.0,IN
hyderabad,TELANGANA,500079.0,IN
VYTHIRI,KERALA,673591.0,IN
ANDIPATTI,TAMIL NADU,625512.0,IN
PALAKKAD,KERALA,678007.0,IN
UTTAR KAMAKHYAGURI,WEST BENGAL,736202.0,IN
JHANSI,UTTAR PRADESH,284128.0,IN
Cochin,KERALA,682024.0,IN
New Delhi,DELHI,110067.0,IN
MANGALURU,KARNATAKA,575008.0,IN
ISMAILABAD,HARYANA,136129.0,IN
KHAMBHAT,Gujarat,388620.0,IN
KALADHUNGI,UTTARAKHAND,263139.0,IN
MAIHAR,MADHYA PRADESH,485771.0,IN
KOCHI,KERALA,682507.0,IN
NAWABGANJ,UTTAR PRADESH,225204.0,IN
PERAMBAKKAM,TAMIL NADU,631402.0,IN
GURUGRAM,HARYANA,122005.0,IN
TALASARI,MAHARASHTRA,401606.0,IN
Rajsamand,RAJASTHAN,313329.0,IN
chennai,TAMIL NADU,600093.0,IN
Pollachi,TAMIL NADU,642104.0,IN
AMRAVATI,MAHARASHTRA,444607.0,IN
NAWANSHAHR,PUNJAB,144514.0,IN
Mettur,TAMIL NADU,636401.0,IN
PANAJI,GOA,403004.0,IN
BANGARAPET,KARNATAKA,563114.0,IN
Chitranjan,WEST BENGAL,713331.0,IN
BHARATPUR,RAJASTHAN,321001.0,IN
THANE (w),MAHARASHTRA,400610.0,IN
ROURKELA,ODISHA,770032.0,IN
Vasind,MAHARASHTRA,421601.0,IN
"Perunna, changanacherry, kottayam",KERALA,686102.0,IN
TIRUVALLUR,TAMIL NADU,600060.0,IN
DINDORI,MAHARASHTRA,422202.0,IN
Thalore Thrissur,KERALA,680306.0,IN
KANPUR,UTTAR PRADESH,208023.0,IN
SOUTH GOA,GOA,403604.0,IN
RAIPUR,CHHATTISGARH,492004.0,IN
QUEPEM,GOA,403705.0,IN
Thane mumbai,MAHARASHTRA,401107.0,IN
HUNSUR,KARNATAKA,571105.0,IN
tuticorin,TAMIL NADU,628101.0,IN
Visakhapatnam,ANDHRA PRADESH,530001.0,IN
KOTTAYAM,KERALA,686010.0,IN
BAHARAGORA,JHARKHAND,832101.0,IN
SALBANI,WEST BENGAL,721132.0,IN
HUKERI,KARNATAKA,591309.0,IN
KANDLA,Gujarat,370210.0,IN
Bhagalpur,BIHAR,812001.0,IN
VIJAYAWADA,ANDHRA PRADESH,521101.0,IN
WARANGAL,TELANGANA,506349.0,IN
KALKA,HARYANA,133302.0,IN
bhubaneswar,ODISHA,751012.0,IN
AHMEDABAD,Gujarat,382455.0,IN
Garhshankar,PUNJAB,144532.0,IN
JHALRAPATAN,RAJASTHAN,326023.0,IN
Noida,UTTAR PRADESH,201309.0,IN
PUDUCHERRY,PUDUCHERRY,605004.0,IN
Naidupeta,ANDHRA PRADESH,524126.0,IN
Tathawade  pune,MAHARASHTRA,411033.0,IN
Thrikakara,KERALA,682021.0,IN
Nidadavole,ANDHRA PRADESH,534301.0,IN
Thrissur,KERALA,680501.0,IN
KHARDAHA,WEST BENGAL,700112.0,IN
KHARDAHA,WEST BENGAL,700117.0,IN
PATNA,Bihar,800003.0,IN
Dehradun,UTTARAKHAND,248197.0,IN
KANJIKODE INDUSTRIAL AREA,KERALA,678623.0,IN
Haldwani district nainital,UTTARAKHAND,263139.0,IN
Berhampur,ODISHA,760005.0,IN
KOTHAPALLE,ANDHRA PRADESH,533447.0,IN
VARANASI,UTTAR PRADESH,221004.0,IN
PANACHIKKAD,KERALA,686531.0,IN
Deralakatte,KARNATAKA,575018.0,IN
MIRZAPUR,UTTAR PRADESH,231304.0,IN
MADHIRA,TELANGANA,507203.0,IN
SIKANDRA RAO,UTTAR PRADESH,204215.0,IN
GUWAHATIGuwahati,ASSAM,781005.0,IN
BARIPADA,ODISHA,757001.0,IN
Vadodara,Gujarat,390001.0,IN
AHMEDABAD 380014,Gujarat,380014.0,IN
aligarh,UTTAR PRADESH,202001.0,IN
Ahmednagar,MAHARASHTRA,414003.0,IN
"Hanamkonda, WARANGAL Urban",TELANGANA,506001.0,IN
NEW DELHI,DELHI,110066.0,IN
KONNI,KERALA,689691.0,IN
Warangal,TELANGANA,506002.0,IN
Kanjirapilly,KERALA,686508.0,IN
LUCKNOW,UTTAR PRADESH,226023.0,IN
Nashik,MAHARASHTRA,422001.0,IN
KHANAPUR,MAHARASHTRA,415307.0,IN
RAIPUR,CHHATTISGARH,492015.0,IN
KOSI KALAN,UTTAR PRADESH,281403.0,IN
JAMALPUR,BIHAR,811214.0,IN
Kolkata,WEST BENGAL,700016.0,IN
RAMPURHAT II,WEST BENGAL,731217.0,IN
jamnagar,Gujarat,361008.0,IN
MURUM,MAHARASHTRA,413605.0,IN
Mumbai,MAHARASHTRA,400010.0,IN
udaipur,RAJASTHAN,313001.0,IN
"Vashi, new Mumbai.",MAHARASHTRA,400703.0,IN
Trivandurm,KERALA,695023.0,IN
HAFLONG,ASSAM,788819.0,IN
PANJIM,GOA,403521.0,IN
AMALAPURAM,ANDHRA PRADESH,533210.0,IN
Mumbai,MAHARASHTRA,400615.0,IN
Pallikoda,TAMIL NADU,635809.0,IN
PONNAMARAVATHI,TAMIL NADU,622407.0,IN
Pandharpur,MAHARASHTRA,413304.0,IN
Bheemunipatnam,ANDHRA PRADESH,531163.0,IN
HUBBALLI,KARNATAKA,580021.0,IN
MYSURU,KARNATAKA,570028.0,IN
"Khandavalli, peravali mandal, west godavari",ANDHRA PRADESH,534330.0,IN
Gandhinagar,Gujarat,382421.0,IN
Surat,Gujarat,395002.0,IN
Chennai,TAMIL NADU,600014.0,IN
"Thane west ,Majiwade",MAHARASHTRA,400601.0,IN
CHIRALA,ANDHRA PRADESH,523157.0,IN
PARVATHIPURAM,ANDHRA PRADESH,535522.0,IN
GORAYA,PUNJAB,144409.0,IN
Coimbatore,TAMIL NADU,641036.0,IN
New Delhi,New Delhi,110075.0,IN
Berhampur,ODISHA,760008.0,IN
CHANGODAR GIDC,Gujarat,382213.0,IN
CHAKIA,BIHAR,845412.0,IN
PUNE,MAHARASHTRA,410501.0,IN
Udaipur,RAJASTHAN,313001.0,IN
FAROOQNAGAR,TELANGANA,509216.0,IN
North Kalamassery,KERALA,683104.0,IN
BODH GAYA,BIHAR,824231.0,IN
Kolar,KARNATAKA,563101.0,IN
delhi,DELHI,110088.0,IN
Alwar,RAJASTHAN,301410.0,IN
Nizamabad,TELANGANA,503245.0,IN
HYDERABAD,TELANGANA,502300.0,IN
CHENNAI,TAMIL NADU,600084.0,IN
THIRUVALLA,KERALA,689106.0,IN
New Delhi,DELHI,110013.0,IN
NILAKKOTTAI,TAMIL NADU,624208.0,IN
BHAVANISAGAR,TAMIL NADU,638451.0,IN
BHADRESWAR,WEST BENGAL,712139.0,IN
New Delhi,DELHI,110089.0,IN
Bhagalpur,Bihar,812002.0,IN
BHILAI,CHHATTISGARH,490026.0,IN
GURUGRAM,HARYANA,122012.0,IN
NTPC Barh Township,BIHAR,803213.0,IN
DELHI,DELHI,110091.0,IN
KANGRA,HIMACHAL PRADESH,176029.0,IN
WANAPARTHY,TELANGANA,509103.0,IN
NELLORE,ANDHRA PRADESH,524346.0,IN
RAMPUR,HIMACHAL PRADESH,172001.0,IN
KHORDHA,ODISHA,752057.0,IN
KODUNGALLUR,KERALA,680667.0,IN
WARANGAL URBAN,TELANGANA,506370.0,IN
Visakhapatnam,ANDHRA PRADESH,530004.0,IN
SURAJGARH,RAJASTHAN,333029.0,IN
GHATAL,WEST BENGAL,721148.0,IN
PUTHUNAGARAM,KERALA,678505.0,IN
BANSWARA,RAJASTHAN,327001.0,IN
New Delhi,New Delhi,110070.0,IN
KOLKATA,WEST BENGAL,700012.0,IN
THRISSUR,KERALA,680691.0,IN
KOLHAPUR,MAHARASHTRA,416007.0,IN
VIRAR (w),MAHARASHTRA,401303.0,IN
Kochi,KERALA,682023.0,IN
YELLAPUR,KARNATAKA,581359.0,IN
MATENHAIL,HARYANA,124106.0,IN
KOLKATA  39,WEST BENGAL,700039.0,IN
UDUPI,KARNATAKA,576115.0,IN
VELUR,TAMIL NADU,638182.0,IN
Gauriganj,UTTAR PRADESH,227409.0,IN
RAEBARELI,UTTAR PRADESH,229122.0,IN
CHENNAI,TAMIL NADU,600052.0,IN
PADMAPUR,ODISHA,765025.0,IN
JALNA,MAHARASHTRA,431213.0,IN
JALALABAD,PUNJAB,152024.0,IN
Baleshwar,ODISHA,756001.0,IN
Mumbai,MAHARASHTRA,400709.0,IN
SIBSAGAR,ASSAM,785681.0,IN
ARERAJ,BIHAR,845411.0,IN
Ernakulam,KERALA,683575.0,IN
Pune,MAHARASHTRA,411045.0,IN
KARAIKKUDI,TAMIL NADU,630307.0,IN
new delhi,delhi,110062.0,IN
mangalore,KARNATAKA,575001.0,IN
Tirupati,ANDHRA PRADESH,517520.0,IN
SHANKARAMPET A,TELANGANA,502271.0,IN
PUNE-411014,MAHARASHTRA,411014.0,IN
PERUVALLUR,KERALA,673638.0,IN
NAVI MUMBAI,MAHARASHTRA,400710.0,IN
PATNA,BIHAR,803213.0,IN
SODPUR,WEST BENGAL,700113.0,IN
AMBALA Cantt,HARYANA,133001.0,IN
HAPUR,UTTAR PRADESH,245101.0,IN
Canacona,GOA,403702.0,IN
LAWAN,CHHATTISGARH,493526.0,IN
PALAKKAD,KERALA,679533.0,IN
Wadakkanchery,KERALA,680589.0,IN
vallapuzha palakkad,KERALA,679336.0,IN
"KURNOOL, India",ANDHRA PRADESH,518004.0,IN
Bhubaneswar,ODISHA,751002.0,IN
SIRUGUPPA,KARNATAKA,583121.0,IN
KATHGODAM,UTTARAKHAND,263126.0,IN
Kottayam,KERALA,686019.0,IN
Mumbai,MAHARASHTRA,401101.0,IN
pune,MAHARASHTRA,411045.0,IN
KAMOTHE,MAHARASHTRA,410209.0,IN
"Mangalam, TIRUPATI",ANDHRA PRADESH,517507.0,IN
JAMDA,ODISHA,757045.0,IN
Kolkata,WEST BENGAL,700046.0,IN
AURANGABAD,MAHARASHTRA,431006.0,IN
CHIKITI,ODISHA,761010.0,IN
KHAMMAM,TELANGANA,507166.0,IN
Ghaziabad,UTTAR PRADESH,201013.0,IN
Ichhapur,WEST BENGAL,743144.0,IN
CHINTAMANI,KARNATAKA,563128.0,IN
MADHUBANI,BIHAR,847212.0,IN
SHILLONG,MEGHALAYA,793003.0,IN
Kolkata,WEST BENGAL,700059.0,IN
DHULE,MAHARASHTRA,425422.0,IN
GURGAON,HARYANA,122015.0,IN
KOLHAPUR,MAHARASHTRA,416104.0,IN
Coimbatore,TAMIL NADU,641653.0,IN
SHAMLI,UTTAR PRADESH,247776.0,IN
KAILASAGIRI,TAMIL NADU,635808.0,IN
MAHESANA,Gujarat,384002.0,IN
JAMMU,JAMMU & KASHMIR,180006.0,IN
BARAMULA,JAMMU & KASHMIR,193101.0,IN
VIJAPURA,KARNATAKA,586109.0,IN
Ernakulam,KERALA,682020.0,IN
New Delhi,DELHI,110074.0,IN
QUILANDY,KERALA,673305.0,IN
KUNDAPURA,KARNATAKA,576201.0,IN
DEVARAPALLI,ANDHRA PRADESH,534313.0,IN
MANDLA,MADHYA PRADESH,481665.0,IN
Bangalore,KARNATAKA,560064.0,IN
DIBRUGARH,ASSAM,786003.0,IN
DANTEWADA,CHHATTISGARH,494449.0,IN
KHAMGAON,MAHARASHTRA,444303.0,IN
SIANA,UTTAR PRADESH,203412.0,IN
MAVOOR,KERALA,673008.0,IN
Bargarh,ODISHA,768052.0,IN
EAST KHASI HILLS,MEGHALAYA,793018.0,IN
JAMMU,JAMMU & KASHMIR,181133.0,IN
Chennai,TAMIL NADU,600097.0,IN
MASAURHI,BIHAR,804452.0,IN
BARAMATI,MAHARASHTRA,413102.0,IN
DERGAON,ASSAM,785614.0,IN
PAHARPUR,BIHAR,845458.0,IN
KOVVURU,ANDHRA PRADESH,534350.0,IN
Nirmal,TELANGANA,504106.0,IN
MADURAI,TAMIL NADU,625001.0,IN
GADWAL,TELANGANA,509125.0,IN
MEHAM DISTT. ROHTAK,HARYANA,124112.0,IN
SANOOR,KARNATAKA,574114.0,IN
Kapurthala,PUNJAB,144601.0,IN
NADUVANNUR  Kozhikode (district )Balussery(town),KERALA,673614.0,IN
SALEM,TAMIL NADU,637501.0,IN
Pimpalgaon,MAHARASHTRA,422209.0,IN
Imphal east,MANIPUR,795001.0,IN
Pune,MAHARASHTRA,411034.0,IN
MADHUPUR,JHARKHAND,815353.0,IN
PATHANAMTHITTA,KERALA,689672.0,IN
MAHOBA,UTTAR PRADESH,210427.0,IN
Thrissur dt,KERALA,680751.0,IN
"Elakamon, VARKALA",KERALA,695310.0,IN
"FEROKE,calicut",KERALA,673631.0,IN
MULAGUMUDU,TAMIL NADU,629167.0,IN
VIJAYAPURA,KARNATAKA,562135.0,IN
Khanivali,MAHARASHTRA,421312.0,IN
KALAMASSERY,KERALA,682022.0,IN
Navi mumbai,MAHARASHTRA,412210.0,IN
Mainpuri,UTTAR PRADESH,205001.0,IN
Visakhapatnam,ANDHRA PRADESH,530046.0,IN
CHANGANACHERRY,KERALA,686104.0,IN
EDAVILANGU,KERALA,680664.0,IN
PORAYAR,TAMIL NADU,609307.0,IN
JALANDHAR,PUNJAB,144006.0,IN
Varanasi,UTTAR PRADESH,221010.0,IN
ASSANDH,HARYANA,132039.0,IN
CHANDANNAGAR,WEST BENGAL,712136.0,IN
Nanded,MAHARASHTRA,431709.0,IN
PEBBAIR,TELANGANA,509104.0,IN
SHIMLA,HIMACHAL PRADESH,171003.0,IN
PHULABANI,ODISHA,762001.0,IN
BENGALURU,KARNATAKA,562106.0,IN
RANIPETTAI,TAMIL NADU,632401.0,IN
WEST GODAVARI,ANDHRA PRADESH,534235.0,IN
"South Kalamassery, Ernakulam",KERALA,682033.0,IN
DELHI,DELHI,110027.0,IN
GUNA,MADHYA PRADESH,473287.0,IN
PONNEKALLUP,ANDHRA PRADESH,522018.0,IN
Gautam Budha Nagar,UTTAR PRADESH,201008.0,IN
AMBARNATH,MAHARASHTRA,421505.0,IN
PERINTHALMANNA,KERALA,679325.0,IN
Supane,MAHARASHTRA,415114.0,IN
chennai,TAMIL NADU,600036.0,IN
DHARWAD,KARNATAKA,580008.0,IN
MEDAK,TELANGANA,502277.0,IN
TIRUNELVELI,TAMIL NADU,627004.0,IN
THRISSUR,KERALA,680614.0,IN
RANGAPARA,ASSAM,784101.0,IN
Kendrapara,ODISHA,754227.0,IN
Thrissur,KERALA,680564.0,IN
KALYANI,WEST BENGAL,741234.0,IN
NAUGARH,UTTAR PRADESH,272207.0,IN
Srinagar,JAMMU & KASHMIR,190007.0,IN
KUNDGOL,KARNATAKA,581113.0,IN
Bangalore,KARNATAKA,560079.0,IN
MULGUND,KARNATAKA,582117.0,IN
BHONGIR,TELANGANA,508116.0,IN
Bhilai,CHHATTISGARH,490020.0,IN
VAZHAYUR,KERALA,673633.0,IN
PERUMBAVOOR,KERALA,683545.0,IN
THRISSUR,KERALA,680655.0,IN
"Mohli, Dharamshala",HIMACHAL PRADESH,176215.0,IN
Neyveli,TAMIL NADU,607803.0,IN
Mathura,UTTAR PRADESH,281004.0,IN
SONIPAT,HARYANA,131027.0,IN
ADOOR,KERALA,691551.0,IN
Kunnamkulam,KERALA,680542.0,IN
"Kottaram, Kanyakumari",TAMIL NADU,629703.0,IN
NAWADA,BIHAR,805126.0,IN
JAIPUR,RAJASTHAN,302031.0,IN
Satagalli 1st stage,KARNATAKA,570019.0,IN
THRISSUR,KERALA,680004.0,IN
RAMPURA PHUL,PUNJAB,151103.0,IN
HAORA,WEST BENGAL,711104.0,IN
mumbai,MAHARASHTRA,400076.0,IN
Thrissur,KERALA,680306.0,IN
TIRUVETHIPURAM,TAMIL NADU,604407.0,IN
"Peringara p o,Tiruvalla",KERALA,689108.0,IN
Patna,BIHAR,800020.0,IN
Ladwa state- kurukshetra,HARYANA,136132.0,IN
Bhubaneswar,ODISHA,751006.0,IN
COURTALAM,TAMIL NADU,627818.0,IN
PALAKKAD,KERALA,678681.0,IN
PADIYAM,KERALA,680612.0,IN
Bengaluru east,KARNATAKA,560087.0,IN
"ROURKELA , DIST - SUNDARGARH",ODISHA,769002.0,IN
GODDA,JHARKHAND,814133.0,IN
Harugeri,KARNATAKA,591220.0,IN
Satara,MAHARASHTRA,415002.0,IN
NEW DELHI 110016,DELHI,110016.0,IN
Nagpur,MAHARASHTRA,440017.0,IN
Baraut,UTTAR PRADESH,250611.0,IN
EAST GODAVARI,ANDHRA PRADESH,533003.0,IN
IBRAHIMPATNAM,ANDHRA PRADESH,521456.0,IN
korba,CHHATTISGARH,495677.0,IN
Pariyaram,KERALA,670503.0,IN
AMBIKANAGARA,KARNATAKA,581363.0,IN
Pratapgarh,UTTAR PRADESH,230139.0,IN
RATNAGIRI,MAHARASHTRA,415602.0,IN
Yerraguntla,ANDHRA PRADESH,516309.0,IN
Madikeri,KARNATAKA,571248.0,IN
Vellore,TAMIL NADU,632514.0,IN
PILKHUWA,UTTAR PRADESH,245304.0,IN
BHILAI DURG,CHHATTISGARH,490006.0,IN
KOTHAMANGALAM,KERALA,686691.0,IN
BIRPUR,BIHAR,854340.0,IN
RAMANUJGANJ,CHHATTISGARH,497220.0,IN
ATCHUTAPURAM APSEZ,ANDHRA PRADESH,531011.0,IN
MUMBAI - 400062,MAHARASHTRA,400062.0,IN
Ambernath East Dist Thane,MAHARASHTRA,421501.0,IN
BANTVAL,KARNATAKA,574231.0,IN
BASAVAKALYAN,KARNATAKA,585327.0,IN
DUNGARPUR,RAJASTHAN,314406.0,IN
HAMIRPUR,HIMACHAL PRADESH,177001.0,IN
TUMKUR,KARNATAKA,572106.0,IN
ANUPPUR,MADHYA PRADESH,484887.0,IN
BARAPALI,ODISHA,768029.0,IN
Thane,MAHARASHTRA,401203.0,IN
Nagpur,MAHARASHTRA,440005.0,IN
ALUR,KARNATAKA,573213.0,IN
Hubli,KARNATAKA,580030.0,IN
DHULE,MAHARASHTRA,424005.0,IN
CHINCHANI,MAHARASHTRA,401103.0,IN
TEZU,ARUNACHAL PRADESH,792001.0,IN
WARDHA,MAHARASHTRA,442102.0,IN
ERNAKULAM DISTRICT,KERALA,683518.0,IN
Arvi Wardha,MAHARASHTRA,442201.0,IN
Kalyan,MAHARASHTRA,421102.0,IN
ALAPPUZHA,KERALA,688532.0,IN
Naranapura,KARNATAKA,577547.0,IN
MADURAI- 625004,TAMIL NADU,625004.0,IN
Khurja(bulandshar),UTTAR PRADESH,203131.0,IN
CHANDAUSI,UTTAR PRADESH,244412.0,IN
INDORE,MADHYA PRADESH,452002.0,IN
PARIA,BIHAR,811211.0,IN
Ujjain,MADHYA PRADESH,456010.0,IN
ALLAHABAD,UTTAR PRADESH,211013.0,IN
INDORE,MADHYA PRADESH,452003.0,IN
SALEM,TAMIL NADU,636001.0,IN
KOLLAM,KERALA,691502.0,IN
KUNNATHUR,KERALA,690540.0,IN
"BARRACKPORE , KOLKATA",WEST BENGAL,700120.0,IN
Jorhat,ASSAM,785616.0,IN
GAGRET,HIMACHAL PRADESH,177201.0,IN
CHAGALLU,ANDHRA PRADESH,534342.0,IN
COIMBATORE,TAMIL NADU,641016.0,IN
"RAIGARH, Navi Mumbai",MAHARASHTRA,410210.0,IN
UNNAO,UTTAR PRADESH,209867.0,IN
DAHIVADI,MAHARASHTRA,415508.0,IN
UTHAMAPALAYAM,TAMIL NADU,625533.0,IN
REIS MAGOS,GOA,403114.0,IN
Range reddy dist,TELANGANA,500091.0,IN
SOMVARPET,KARNATAKA,571236.0,IN
VADODARA,Gujarat,390004.0,IN
"Khadki,pune",MAHARASHTRA,411003.0,IN
Sibsagar,ASSAM,785697.0,IN
Belthara Road,UTTAR PRADESH,221715.0,IN
balumath,JHARKHAND,829202.0,IN
PANDHARKAODA,MAHARASHTRA,445302.0,IN
Navi mumbai,MAHARASHTRA,410206.0,IN
BANGALORE,KARNATAKA,560058.0,IN
VIJAY PORE,JAMMU & KASHMIR,184120.0,IN
bhopal,MADHYA PRADESH,462041.0,IN
BAGALKOT,KARNATAKA,587101.0,IN
Ambedkar Nagar,UTTAR PRADESH,224168.0,IN
KOLKATA,WEST BENGAL,700081.0,IN
ANKLESHWAR,Gujarat,393002.0,IN
AGRA,UTTAR PRADESH,283119.0,IN
UNJHA,Gujarat,384170.0,IN
Jagdalpur,CHHATTISGARH,494001.0,IN
KALYAN (East),MAHARASHTRA,421306.0,IN
VENGATHUR,TAMIL NADU,602002.0,IN
Chennai,TAMIL NADU,600061.0,IN
HYDERABAD,TELANGANA,500077.0,IN
MANDIDEEP,MADHYA PRADESH,462046.0,IN
VIJAYAWADA,ANDHRA PRADESH,521130.0,IN
Okhaport,Gujarat,361350.0,IN
ALLAHABAD,UTTAR PRADESH,212404.0,IN
BAMBOOFLAT,ANDAMAN & NICOBAR ,744107.0,IN
HALDIA,WEST BENGAL,721645.0,IN
Tenkasi,TAMIL NADU,627855.0,IN
BASUDEBPUR/bhadrak,ODISHA,756125.0,IN
Jamshedpur,JHARKHAND,831004.0,IN
Nellore,ANDHRA PRADESH,524305.0,IN
JALANDHAR,PUNJAB,144009.0,IN
HYDERABAD,TELANGANA,502305.0,IN
PILLAIARKUPPAM,PUDUCHERRY,607402.0,IN
JAMMU,JAMMU & KASHMIR,181132.0,IN
MAJHIHARA,ODISHA,752103.0,IN
HYDERABAD,TELANGANA,500012.0,IN
DINDIGUL,TAMIL NADU,624003.0,IN
KAKINADA,ANDHRA PRADESH,533016.0,IN
Kuruppapady (Via),KERALA,683545.0,IN
RAJAPALAYAM VIRUDHUNAGAR DISTRICT,TAMIL NADU,626117.0,IN
Kolkata 700039,WEST BENGAL,700039.0,IN
Kakkodi,KERALA,673611.0,IN
Ulhasnagar 4,MAHARASHTRA,421004.0,IN
"Gautam Budh Nagar , NOIDA",UTTAR PRADESH,201304.0,IN
siliguri,WEST BENGAL,734010.0,IN
COIMBATORE,TAMIL NADU,641014.0,IN
"Po-jagannathpur,phulnakhra Dist-Khurda",ODISHA,754001.0,IN
INDERAVELLY,TELANGANA,504346.0,IN
RASIPURAM,TAMIL NADU,637408.0,IN
Mumbai,MAHARASHTRA,400052.0,IN
Bihar sharif,BIHAR,803107.0,IN
DURG,CHHATTISGARH,490020.0,IN
NARASINGAPURAM VELLORE DISTRICT,TAMIL NADU,632515.0,IN
DERAPUR,UTTAR PRADESH,209301.0,IN
CHIKKAMAGALURU,KARNATAKA,577102.0,IN
"Hyderabad,Rangareddy",TELANGANA,500039.0,IN
FAIZABAD,UTTAR PRADESH,224121.0,IN
Imphal,Manipur,795001.0,IN
GURSAHAIGANJ,UTTAR PRADESH,209722.0,IN
Surat,Gujarat,394515.0,IN
MITHAPUR,Gujarat,361345.0,IN
"Rajarhaat , Kolkata",WEST BENGAL,700136.0,IN
KORBA,CHHATTISGARH,495677.0,IN
Bihta,Bihar,801103.0,IN
Coimbatore,TAMIL NADU,641027.0,IN
BIHTA PATNA DISTRICT,BIHAR,801103.0,IN
AHMEDABAD,Gujarat,380026.0,IN
UDAIPUR,RAJASTHAN,313024.0,IN
PAMPORE,JAMMU & KASHMIR,192121.0,IN
ANAKAPALLE,ANDHRA PRADESH,531001.0,IN
ILAMPILLAI,TAMIL NADU,637502.0,IN
NEW DELHI,DELHI,110061.0,IN
MALAPPURAM,KERALA,676317.0,IN
KOTTUVALLY,KERALA,683518.0,IN
mumbai,MAHARASHTRA,400064.0,IN
BANGALORE,KARNATAKA,560033.0,IN
Adoor,KERALA,691552.0,IN
Narasingapuram Vellore District,TAMIL NADU,632406.0,IN
Gurugram,HARYANA,122505.0,IN
Bengaluru,KARNATAKA,560102.0,IN
Kalchini,WEST BENGAL,735217.0,IN
AHMEDABAD,Gujarat,380013.0,IN
SILCHAR,ASSAM,788015.0,IN
KOLKATA,WEST BENGAL,700105.0,IN
SOUTH 24 PARGANAS,WEST BENGAL,700152.0,IN
Mayurbhanj,ODISHA,757035.0,IN
Kolkata,WEST BENGAL,700014.0,IN
MARGHERITA,ASSAM,786181.0,IN
DHARMSALA,HIMACHAL PRADESH,176215.0,IN
hyderabad,ANDHRA PRADESH,500001.0,IN
ANUGUL,ODISHA,759111.0,IN
UPPINANGADY,KARNATAKA,574241.0,IN
Bhayander (Easy),MAHARASHTRA,401105.0,IN
"Koyilandy, kozhikode",KERALA,673620.0,IN
Pimpri Chinchwad,MAHARASHTRA,411017.0,IN
Vishakhapatnam,ANDHRA PRADESH,530046.0,IN
UDUPI,KARNATAKA,576101.0,IN
Dhanbad,JHARKHAND,828116.0,IN
KARAIKKUDI,TAMIL NADU,630002.0,IN
KOTA,RAJASTHAN,324009.0,IN
VAIJAPUR,MAHARASHTRA,423701.0,IN
GUBBI,KARNATAKA,572216.0,IN
JALALABAD shamli DISTRICT,UTTAR PRADESH,247772.0,IN
Bangalore,KARNATAKA,560033.0,IN
Raichur-584101,KARNATAKA,584101.0,IN
Kaikamba,KARNATAKA,574151.0,IN
SURENDRANAGAR,Gujarat,363002.0,IN
Hingoli,MAHARASHTRA,431513.0,IN
KHARKHARI,JHARKHAND,828125.0,IN
TIRUCHIRAPPALLI,TAMIL NADU,620012.0,IN
KHAMMAM,TELANGANA,507208.0,IN
UDUPI,KARNATAKA,574105.0,IN
New Delhi,DELHI,110043.0,IN
NIRMAL,TELANGANA,504106.0,IN
TIRUVANNAMALAI,TAMIL NADU,606604.0,IN
GAMPALAGUDEM,ANDHRA PRADESH,521401.0,IN
kolkata,WEST BENGAL,700039.0,IN
Musheerabad,TELANGANA,500020.0,IN
"Durg, Bhilai",CHHATTISGARH,490009.0,IN
AHMEDABAD,Gujarat,382445.0,IN
Murugeshpalya Bangalore,KARNATAKA,560017.0,IN
Ernakulam,KERALA,682307.0,IN
KISHANGANj,BIHAR,855115.0,IN
PAZHUGAL,TAMIL NADU,629153.0,IN
Jaipur,Rajasthan,302017.0,IN
SITAMARHI,BIHAR,843302.0,IN
